initial_preference_width,adaptive_tolerance,initial_distribution,social_signal_weight,trending_weight,regime,seed,initial_mean_extremity,initial_opinion_variance,initial_extreme_share,final_mean_opinion,final_mean_extremity,final_opinion_variance,final_extreme_share,final_preference_width,final_preference_extremity,final_acceptance_threshold,final_rejection_threshold,final_acceptance_rate,final_ignore_rate,final_backfire_rate,final_avg_exposure_distance,final_opinion_bimodality,final_acceptance_history_filled
0.2,True,polarized,0.5,0.0,local_cf,5,0.45642862479078333,0.23605435032283964,0.03,0.012031538855669264,0.4505451292404817,0.25753581762365124,0.13,0.12256508161273429,0.45364567067279915,0.5999999999999999,1.100535,0.9559,0.0438,0.0003,0.08992969025766379,1.9261452793630558,1.0
0.2,True,polarized,0.5,0.0,local_cf,6,0.4487349801818831,0.2306923246139288,0.035,-0.029326904630535697,0.4388651185888834,0.2451651112942736,0.105,0.12239981524304681,0.4364662206811111,0.5999999999999999,1.10452,0.95935,0.0403,0.00035,0.09730062321347788,1.8948754408877384,1.0
0.2,True,polarized,0.5,0.0,local_cf,7,0.4560624928224707,0.24006496057790813,0.06,-0.07047595675729329,0.42583452397273575,0.2296143020245404,0.105,0.12260864723351698,0.4288841035848817,0.5999249999999998,1.1080949999999998,0.95865,0.04125,0.0001,0.09174002612715162,1.8526435609041843,1.0
0.2,True,polarized,0.5,0.0,local_cf,8,0.45183310330971055,0.2357182932888535,0.055,-0.023886347304661274,0.4719089938394882,0.28266633537304353,0.17,0.1225136990521267,0.47179398616430207,0.5999749999999999,1.1066,0.95825,0.0415,0.00025,0.09242230804015779,1.9296553068171938,1.0
0.2,True,polarized,0.5,0.0,local_cf,9,0.4520813692391372,0.23449767822681317,0.065,-0.006871353021259032,0.44981540114593954,0.2583839244262308,0.13,0.12233550041376383,0.44496663553700505,0.5999999999999999,1.11336,0.9621,0.0376,0.0003,0.1070887128903226,1.900678975948729,1.0
0.2,True,polarized,0.5,0.0,local_cf,10,0.4583592564645024,0.24470646355546344,0.05,0.022243433749246488,0.46631231864066736,0.27558724272197654,0.16,0.12237615730471633,0.46986216281460585,0.5999999999999999,1.11291,0.96105,0.03865,0.0003,0.0947329904544576,1.9340189064031184,1.0
0.2,True,polarized,0.5,0.0,local_cf,11,0.4499081514146593,0.23841500035419777,0.05,-0.011074320425806916,0.45724231550933625,0.2752329477109273,0.165,0.12252233332620738,0.4628293610665071,0.5998499999999999,1.10385,0.95805,0.0417,0.00025,0.10171883828260374,1.7696556403596229,1.0
0.2,True,polarized,0.5,0.0,local_cf,12,0.45596781438652895,0.23510913494160016,0.03,-0.041851745000896015,0.43474474206707453,0.2421710490679488,0.125,0.12253042121012683,0.43263061227654004,0.5998999999999998,1.1047749999999998,0.9578,0.04195,0.00025,0.09234053041625369,1.8520004886006196,1.0
0.2,True,polarized,0.5,0.0,local_cf,13,0.4646831149509647,0.23915608495774746,0.045,-0.06641430963368986,0.44714898541760606,0.24832336840668812,0.105,0.12236005114267705,0.4435345014119789,0.5999999999999999,1.10873,0.95945,0.04015,0.0004,0.10088014553084534,1.7696728731874878,1.0
0.2,True,polarized,0.5,0.0,local_cf,14,0.44696814808736074,0.23020196138684335,0.06,-0.007033906470034097,0.46746804442480794,0.27520899623165496,0.16,0.12258161984183472,0.47197666039660435,0.5999999999999999,1.10395,0.95645,0.0433,0.00025,0.09344930412684122,1.9373397671612083,1.0
0.2,True,polarized,0.5,0.0,local_cf,15,0.44166862618809893,0.21656272157032597,0.025,0.040656652838583954,0.4699007534203571,0.27757516232284113,0.175,0.12273490987771009,0.4754867274778929,0.5999749999999999,1.105745,0.95525,0.04465,0.0001,0.09166983619048441,1.880935671339331,1.0
0.2,True,polarized,0.5,0.0,local_cf,16,0.45235615915082245,0.23012308966310668,0.045,-0.05470094029900717,0.4641646658475493,0.2763069645592012,0.17,0.12231077447314842,0.46019201465376947,0.5999999999999999,1.1170849999999999,0.9628,0.0369,0.0003,0.09385581471081057,1.7609151620370753,1.0
0.2,True,polarized,0.5,0.0,local_cf,17,0.4529381224890642,0.23798740153867712,0.045,0.019599741885926884,0.4543899401068981,0.2630185549127072,0.13,0.12259406433790178,0.4550890171795898,0.5998699999999998,1.112345,0.959,0.0409,0.0001,0.0969772613482575,1.8942042309208806,1.0
0.2,True,polarized,0.5,0.0,local_cf,18,0.45287972975562624,0.23563087405690702,0.05,0.024674520086435177,0.44314184890993874,0.2560350012137068,0.125,0.12252228429004448,0.444122173224754,0.5999999999999999,1.107775,0.95805,0.0417,0.00025,0.08985223804467393,1.727491872389506,1.0
0.2,True,polarized,0.5,0.0,local_cf,19,0.4631213841438084,0.24313420909245156,0.06,-0.026275836679518817,0.4420539063950558,0.25803274561192047,0.165,0.12241242317976367,0.4451909038094597,0.5999999999999999,1.1078299999999999,0.9581,0.0415,0.0004,0.10291764824218143,1.7316655245947632,1.0
0.2,True,polarized,0.5,0.0,local_cf,20,0.4768477971087027,0.25453372975403155,0.08,-0.026723190065169652,0.4914644445924622,0.29673427551347187,0.18,0.12251805500745863,0.49283835032917067,0.5999499999999999,1.1056549999999998,0.9601,0.03975,0.00015,0.09454011411847808,2.0022825616495017,1.0
0.5,True,polarized,0.0,0.5,global_trending,1,0.4463405437930653,0.23205964668410795,0.05,0.025964947783466627,0.5607843783551119,0.48664437096218593,0.46,0.17072098098397517,0.5389319135289755,0.34161,0.7468049999999994,0.4084,0.27965,0.31195,0.3724346279439294,1.3036621137474493,0.8475
0.5,True,polarized,0.0,0.5,global_trending,2,0.46430402696408973,0.24339147470630335,0.03,0.05610982194807256,0.591604168700655,0.527792079044683,0.51,0.1619079828999235,0.572815130750045,0.32158499999999995,0.7115449999999993,0.3762,0.26565,0.35815,0.384979693980506,1.3723356306245973,0.8005000000000001
0.5,True,polarized,0.0,0.5,global_trending,3,0.45718869209483176,0.24259479944898182,0.05,-0.03471532809492737,0.5684730592026658,0.5081834527053293,0.49,0.1668831516909264,0.5474960086691096,0.32876,0.7264249999999993,0.3835,0.2787,0.3378,0.36476868386122724,1.3175155891380195,0.8125
0.5,True,polarized,0.0,0.5,global_trending,4,0.45688861650490453,0.23617642555051194,0.04,0.011468627816568402,0.573117717697338,0.5058988079765592,0.49,0.16762651083907237,0.5557676953977464,0.32927999999999996,0.7234849999999993,0.38635,0.2792,0.33445,0.36969966757298406,1.3253749156191685,0.8144999999999999
0.5,True,polarized,0.0,0.5,global_trending,5,0.44438221246763576,0.23234035640603448,0.055,0.0328377696266073,0.6038697405412629,0.5506868849755839,0.53,0.15752543354622223,0.5905880899959998,0.30517999999999995,0.6891099999999993,0.36115,0.26975,0.3691,0.38260011956711265,1.3996504614062693,0.7985
0.5,True,polarized,0.0,0.5,global_trending,6,0.45556410893250016,0.24001821045588137,0.065,-0.013134887738077552,0.5954535538385329,0.5286899102850937,0.505,0.1608181073764213,0.5764358819587939,0.31884499999999993,0.7085849999999994,0.37675,0.28,0.34325,0.3577710739994939,1.4212418129504976,0.8360000000000001
0.5,True,polarized,0.0,0.5,global_trending,7,0.4483481001024714,0.23099142511718798,0.05,0.04618388834604425,0.575500655676456,0.5064845132296678,0.48,0.16659864328655602,0.5460581895085156,0.329785,0.7310199999999992,0.38895,0.29555,0.3155,0.3751056331710567,1.3667554642923543,0.843
0.5,True,polarized,0.0,0.5,global_trending,8,0.43423098624256923,0.21818558392007922,0.035,0.012262491828970682,0.5701900319124767,0.493470894389271,0.46,0.1665080183651,0.5362233976228606,0.329465,0.7241299999999993,0.38455,0.29105,0.3244,0.3531428161094074,1.3691669078226225,0.8525
0.5,True,polarized,0.0,0.5,global_trending,9,0.4488324133246471,0.22767938139984176,0.035,-0.054440873828214276,0.5667046244644435,0.493943216533639,0.475,0.17064888028785627,0.5397662378427518,0.33881,0.7421049999999992,0.39025,0.30475,0.305,0.369762175750691,1.362371049047425,0.8680000000000001
0.5,True,polarized,0.0,0.5,global_trending,10,0.448606444080311,0.23348688136840146,0.06,0.027069174227935214,0.5569539896623705,0.49282724968896735,0.48,0.17045650516663435,0.5369666287597247,0.3401949999999999,0.7488449999999992,0.4042,0.2814,0.3144,0.35810553211948615,1.3023532268893534,0.84
0.5,True,polarized,0.0,0.5,global_trending,11,0.47780831387742595,0.25993927744284706,0.06,0.039788685238926966,0.6026600697321252,0.5285836889089681,0.505,0.1619852947355364,0.5777403995165271,0.31873999999999997,0.7057649999999992,0.36455,0.294,0.34145,0.37887582889911464,1.46836675209722,0.816
0.5,True,polarized,0.0,0.5,global_trending,12,0.43568980281641173,0.21924745719172406,0.04,0.03315937412603553,0.5739336361565066,0.5056473204888156,0.485,0.1654868191294888,0.5521704330231845,0.328065,0.7234349999999992,0.3897,0.28625,0.32405,0.3836872349451208,1.3630806904327626,0.84
0.5,True,polarized,0.0,0.5,global_trending,13,0.457535655837512,0.23373942386382646,0.035,0.01161398868541442,0.5885615006958038,0.5103134221313284,0.485,0.16900864502187166,0.5527990550269773,0.33236000000000004,0.7361099999999994,0.3856,0.3198,0.2946,0.36984341188295533,1.3715483186670436,0.8640000000000001
0.5,True,polarized,0.0,0.5,global_trending,14,0.4545139649528466,0.23635871445350515,0.08,-0.025070583618570317,0.5969017467190563,0.5205443543585833,0.485,0.16550288970872187,0.579098092433444,0.32314,0.7198849999999994,0.38155,0.3045,0.31395,0.37356685441827553,1.3870904151630863,0.8480000000000001
0.5,True,polarized,0.0,0.5,global_trending,15,0.455275026205615,0.23983071477603538,0.07,-0.02620166605866479,0.5779618814954475,0.5065167707121497,0.48,0.1684761332153839,0.5549556218557544,0.33037,0.7310449999999993,0.385,0.28325,0.33175,0.36091141004968874,1.3465678170760467,0.8109999999999999
0.5,True,polarized,0.0,0.5,global_trending,16,0.4351221619140173,0.2222267270870911,0.05,0.033639003857288616,0.5237274833919885,0.44604197301523274,0.42,0.18133015978488032,0.5002882713531087,0.36229,0.7781899999999993,0.42425,0.28975,0.286,0.3541350926862893,1.2622987323787838,0.858
0.5,True,polarized,0.0,0.5,global_trending,17,0.45669677644463436,0.2383839031897659,0.045,-0.028642573834015188,0.5573928408757981,0.4949839621642462,0.485,0.1707347908464866,0.5364394955472821,0.339525,0.7458599999999993,0.40255,0.2763,0.32115,0.37088166341648837,1.2969679365285058,0.8475
0.5,True,polarized,0.0,0.5,global_trending,18,0.43605953246506823,0.21872005340061676,0.035,0.06150598905244939,0.5445585627679093,0.4630271174794441,0.43,0.17252895408935387,0.5185113254316468,0.34390499999999996,0.7479599999999992,0.4063,0.29835,0.29535,0.3512877292865218,1.2756099961443856,0.867
0.5,True,polarized,0.0,0.5,global_trending,19,0.4617384785725998,0.24234988441008803,0.045,-0.006557559135106721,0.5610271057309162,0.48770853836270034,0.46,0.1701387824703425,0.5319800569186539,0.33817499999999995,0.7406499999999993,0.39115,0.3027,0.30615,0.3658760092781081,1.323836026016611,0.8375
0.5,True,polarized,0.0,0.5,global_trending,20,0.4305770749063832,0.21034403458977174,0.02,-0.006438326207635719,0.5392440686457993,0.46603045847663743,0.435,0.17192119496465647,0.5223086227093062,0.34003,0.7427099999999993,0.41655,0.27315,0.3103,0.3539503285848913,1.240107181130465,0.8430000000000001
