initial_preference_width,adaptive_tolerance,backfire_rate,seed,initial_mean_extremity,final_mean_extremity,delta_extremity,final_extreme_share,final_opinion_variance,final_backfire_rate_observed,final_acceptance_rate
1.0,False,0.0,7,0.513637667411623,0.5562016937186534,0.04256402630703038,0.38,0.4043975696586657,0.1238,0.5087
1.0,False,0.0,8,0.5087707013838418,0.5478429553443561,0.03907225396051428,0.34,0.38819786193353123,0.12175,0.4721
1.0,False,0.0,9,0.5037796340055101,0.5262006403256976,0.02242100632018751,0.35,0.38170342180279704,0.1221,0.4973
1.0,False,0.0,10,0.4783554051954107,0.5146733465430292,0.03631794134761851,0.305,0.359192965871602,0.1234,0.4816
1.0,False,0.0,11,0.5245057294818782,0.5633454209310235,0.03883969144914523,0.375,0.4195875476998367,0.12625,0.49045
1.0,False,0.0,12,0.5092713362654364,0.528726079901775,0.01945474363633859,0.325,0.37180931933787975,0.12575,0.469
1.0,False,0.0,13,0.525746492476239,0.5508347794921986,0.025088287015959665,0.37,0.39543614593111875,0.1243,0.4874
1.0,False,0.0,14,0.49961878918402114,0.53112479062074,0.03150600143671889,0.36,0.3901274473308621,0.1241,0.4882
1.0,False,0.0,15,0.49128662390873923,0.5171695682372266,0.025882944328487367,0.31,0.35916700402113305,0.1252,0.47
1.0,False,0.0,16,0.5398227235682644,0.5640836315374932,0.02426090796922875,0.37,0.411827790715127,0.1199,0.50315
1.0,False,0.0,17,0.501087792958863,0.5370754417717261,0.03598764881286309,0.36,0.3927005610757661,0.1232,0.48935
1.0,False,0.0,18,0.5282595433746189,0.5543037559479638,0.026044212573344883,0.34,0.40182947383188306,0.12235,0.4805
1.0,False,0.0,19,0.4817971947725576,0.5242382943813307,0.042441099608773125,0.3,0.36255265234824974,0.12355,0.4761
1.0,False,0.0,20,0.527119700541352,0.5720816458999172,0.044961945358565125,0.425,0.42478223280914734,0.1208,0.4988
0.2,False,0.03,1,0.5380338813570394,0.5205928149887972,-0.017441066368242275,0.245,0.34829983971434175,0.00045,0.86605
0.2,False,0.03,2,0.5039942537498406,0.5080718356797833,0.004077581929942675,0.285,0.34589414350697195,0.0006,0.86575
0.2,False,0.03,3,0.4890296296058673,0.48412391637970215,-0.004905713226165176,0.22,0.30918753904342144,0.00065,0.85405
0.2,False,0.03,4,0.5382270372131428,0.5226352378005348,-0.01559179941260802,0.27,0.34764193247314773,0.00065,0.8603
0.2,False,0.03,5,0.5029302632833011,0.49256696952958945,-0.0103632937537117,0.235,0.3198291142217477,0.00085,0.8572
0.2,False,0.03,6,0.5186356672752157,0.534412048341962,0.01577638106674628,0.29,0.365031493513202,0.0005,0.86235
0.2,False,0.03,7,0.513637667411623,0.49181751159484377,-0.021820155816779208,0.25,0.3176337624003648,0.0006,0.86145
0.2,False,0.03,8,0.5087707013838418,0.49973665440093634,-0.009034046982905497,0.255,0.3247592100285716,0.00075,0.85675
