initial_preference_width,adaptive_tolerance,initial_distribution,seed,initial_mean_extremity,initial_opinion_variance,initial_extreme_share,final_mean_opinion,final_mean_extremity,final_opinion_variance,final_extreme_share,final_preference_width,final_preference_extremity,final_acceptance_threshold,final_rejection_threshold,final_acceptance_rate,final_ignore_rate,final_backfire_rate,final_avg_exposure_distance
0.1,False,moderate,11,0.19085608736686865,0.05657801750887309,0.005,0.02975106768868379,0.22446912865877355,0.07717460393787268,0.005,0.06089836234299753,0.2305277551373925,0.26415000000000005,0.6984999999999999,0.9825,0.0175,0.0,0.052418334590168786
0.1,False,moderate,12,0.19404368269643554,0.057239136981005745,0.0,-0.03696351487263206,0.2291374349172009,0.08050452447666681,0.005,0.06085780976840608,0.2341429720397551,0.2684,0.706,0.9847,0.0153,0.0,0.05589219071008453
0.1,False,moderate,13,0.1931462300298193,0.056955822939484514,0.0,0.009296089923337714,0.2358058723092796,0.0825127530481461,0.005,0.06086898443091401,0.2417466235338346,0.27435000000000004,0.7164999999999998,0.9841,0.0159,0.0,0.05362220625839979
0.1,False,moderate,14,0.2082291838487677,0.06831165209716694,0.01,0.004141162765266919,0.24539575972269895,0.098623199035434,0.02,0.06091320898080179,0.24792952103279783,0.26925000000000004,0.7075,0.9817,0.0183,0.0,0.05012279217576172
0.1,False,moderate,15,0.19404713493791229,0.056766302825457686,0.0,0.022867443887250424,0.2212735677475844,0.07791001395603772,0.0,0.06088819206486699,0.22710948551576604,0.265,0.7,0.98305,0.01695,0.0,0.05489304972884632
0.1,False,moderate,16,0.18354015899111772,0.052035127745261416,0.0,-0.005505966342609889,0.23473094986793513,0.08878561883378248,0.015,0.060852411070922444,0.24016567980547165,0.2735,0.715,0.985,0.015,0.0,0.05205079628834799
0.1,False,moderate,17,0.1971598894129996,0.060755041611930426,0.005,-0.015182545302090497,0.23177658704244752,0.0888235833766337,0.03,0.060947223137761714,0.23329539458366202,0.25905,0.6894999999999999,0.97985,0.02015,0.0,0.04963073279983936
0.1,False,moderate,18,0.19849958642125387,0.06011216297753087,0.0,0.009911339604996832,0.23432073503356732,0.08227607881896055,0.0,0.060916695730908986,0.23791434082179244,0.26160000000000005,0.694,0.9815,0.0185,0.0,0.0524733742366107
0.1,False,moderate,19,0.2117030568370219,0.06749811549828187,0.0,0.0046449178840763765,0.2442349197606357,0.09329607727777382,0.01,0.06088289335875919,0.24857270553149338,0.27435000000000004,0.7164999999999999,0.98335,0.01665,0.0,0.05499504459687699
0.1,False,moderate,20,0.2028813235464254,0.06711819484453323,0.005,-0.0158274264234288,0.22854693173471116,0.08295656848738384,0.005,0.060856094203068735,0.2321608933687026,0.27265000000000006,0.7134999999999999,0.9848,0.0152,0.0,0.05411648419235729
0.2,False,moderate,1,0.21785177732920646,0.07136292113513035,0.0,-0.04374161726673826,0.27042966233311505,0.10483571585449557,0.015,0.1263475560992645,0.27734422543561577,0.26585000000000003,0.7014999999999999,0.841,0.1579,0.0011,0.10796945489043377
0.2,False,moderate,2,0.20728408629761477,0.06478798464890945,0.0,0.009088844582808717,0.23540050225600498,0.08936368749759772,0.015,0.1264862441701962,0.25129531132054944,0.26330000000000003,0.6969999999999998,0.8414,0.1577,0.0009,0.10234524630927297
0.2,False,moderate,3,0.18716152160945282,0.052659397561306526,0.0,-0.0016174271343628022,0.2157091091228879,0.07060259861494327,0.01,0.12667314360227241,0.22202611852159876,0.26160000000000005,0.694,0.84225,0.15715,0.0006,0.10571922588119911
0.2,False,moderate,4,0.18227891348738423,0.05283684699622,0.0,0.0074047180635542454,0.23291372263268298,0.08652813775019866,0.01,0.12670679007508948,0.23997125312842926,0.2667,0.7029999999999998,0.84155,0.15785,0.0006,0.11360443019814533
0.2,False,moderate,5,0.18590072976239166,0.053832401194738526,0.0,-0.000803335630945139,0.2375751721207329,0.09123372011175525,0.02,0.12679841089035584,0.24900504532836923,0.2573500000000001,0.6864999999999999,0.83395,0.1652,0.00085,0.11175669542017472
0.2,False,moderate,6,0.2172440884942146,0.06859957534532164,0.0,-0.0218460160112462,0.24884931069693653,0.0968108528842272,0.015,0.12650523993274634,0.2553237108141091,0.265,0.7,0.8437,0.15555,0.00075,0.10882774841906113
0.2,False,moderate,7,0.1913694774878259,0.05657091923577656,0.005,0.009813471705051292,0.23278000621396697,0.09053257919156939,0.03,0.12589629468591848,0.24101848603745668,0.2735000000000001,0.715,0.8548,0.1442,0.001,0.10907881540436402
0.2,False,moderate,8,0.20083323230796754,0.06077633781413157,0.0,0.015838702914513617,0.2582509240813429,0.1057810681900565,0.015,0.12615995838818994,0.2634177153154656,0.2709500000000001,0.7104999999999998,0.8481,0.1509,0.001,0.1033381004970116
0.2,False,moderate,9,0.2096049904774857,0.06923997943579778,0.0,0.05623854267341335,0.2648646879178611,0.10303100111833471,0.015,0.12629409561803784,0.2742223924343494,0.26925000000000004,0.7075,0.84735,0.1518,0.00085,0.1100670588054431
0.2,False,moderate,10,0.20034704667719858,0.06132159198470455,0.0,-0.008694260231637201,0.2553108805620398,0.10110047784350286,0.005,0.1264331903333721,0.2603951276461464,0.26585000000000003,0.7014999999999999,0.84865,0.15075,0.0006,0.1012679493789498
0.2,False,moderate,11,0.19014280514352377,0.053473046081709955,0.0,-0.006609482440446802,0.24510068116314812,0.09698343124950125,0.015,0.1264247980711289,0.2548662744634343,0.26415000000000005,0.6984999999999999,0.841,0.158,0.001,0.10686496517212085
0.2,False,moderate,12,0.2028980523995724,0.06382115969533952,0.0,-0.005147810082205889,0.22563760927166612,0.08319820784942976,0.015,0.12644323990329234,0.2301220465759014,0.2684,0.706,0.84535,0.1539,0.00075,0.09492234681176015
