initial_preference_width,social_signal_weight,initial_distribution,seed,initial_mean_extremity,final_mean_extremity,final_opinion_variance,final_extreme_share,final_preference_width,final_acceptance_rate,final_backfire_rate,final_opinion_bimodality
1.0,0.0,moderate,18,0.21161369136096034,0.5940622573727815,0.46006556137052257,0.49,0.32016821967512216,0.4828,0.1371,1.7311553848265255
1.0,0.0,moderate,19,0.21053719578024235,0.6326343329955278,0.5062410142037195,0.52,0.3424443238227438,0.49315,0.12565,1.933100468401086
1.0,0.0,moderate,20,0.20622008128195596,0.6219506213961177,0.5065528845123967,0.53,0.33372177686804405,0.49995,0.1292,1.7919462067986822
1.0,0.2,moderate,1,0.1793242031614413,0.5770544634822131,0.443094329090685,0.415,0.32894925248557,0.48885,0.13245,1.7167552047338923
1.0,0.2,moderate,2,0.17693210637604506,0.5586503206087934,0.4301572376280561,0.425,0.32724136204410553,0.47885,0.13305,1.614444834803051
1.0,0.2,moderate,3,0.20945744788064405,0.6073356946599072,0.4836588403922053,0.495,0.3283655896787983,0.48965,0.13245,1.751616958855069
1.0,0.2,moderate,4,0.19187701337071927,0.5658448295286369,0.4332883448839959,0.43,0.33007947631212914,0.48035,0.1319,1.6809878102624551
1.0,0.2,moderate,5,0.20529270753096726,0.5804121453484317,0.46643552705332697,0.47,0.3226336853766739,0.48905,0.13505,1.5952857050418505
1.0,0.2,moderate,6,0.1829419905482142,0.5667113769233239,0.42316612191259795,0.39,0.3349881018757567,0.46455,0.1309,1.7755396294298944
1.0,0.2,moderate,7,0.17541238643752943,0.5653635665369375,0.43453821797508524,0.44,0.3341702588309998,0.484,0.1294,1.649196552399738
1.0,0.2,moderate,8,0.2120487544274633,0.6130799840819355,0.4912868175354579,0.5,0.3308056520402844,0.493,0.13075,1.7891559557425059
1.0,0.2,moderate,9,0.207877009377193,0.6075173344602003,0.48031651871479936,0.475,0.33416544201722986,0.4904,0.12955,1.8229564157842522
1.0,0.2,moderate,10,0.19997606374870272,0.6160018396136518,0.4956244277135495,0.48,0.33145598703623863,0.49275,0.13045,1.7972010024452227
1.0,0.2,moderate,11,0.20358449807646425,0.5664855265607299,0.42866737925141335,0.41,0.3292657874696097,0.47985,0.1326,1.6814886133379947
1.0,0.2,moderate,12,0.1839888685796672,0.5859259321351411,0.44879724034108504,0.435,0.3343580068350679,0.48745,0.12975,1.7790589997813928
1.0,0.2,moderate,13,0.18855704116355906,0.6175824834859958,0.4769936575760311,0.445,0.3382856795968269,0.49145,0.1277,1.9650514606843057
1.0,0.2,moderate,14,0.1910594349372203,0.5785922290439612,0.44918628020412954,0.435,0.3339968989403567,0.4879,0.12985,1.6891548173918176
1.0,0.2,moderate,15,0.19415798507541937,0.628889522625063,0.5075504639865351,0.51,0.33205394117595227,0.4908,0.1306,1.8428426726537954
